,name,id,description
0,BlackScholes,1694107361,"{""S0"": 1, ""correlation"": 0.5, ""dimension"": 1, ""drift"": 2.0, ""maturity"": 1.0, ""mean"": 4, ""model_name"": ""BlackScholes"", ""nb_paths"": 20000, ""nb_steps"": 100, ""obs_perc"": 0.1, ""return_vol"": false, ""scheme"": ""euler"", ""speed"": 2.0, ""v0"": 1, ""volatility"": 0.3}"
1,Heston,1694140474,"{""S0"": 1, ""correlation"": 0.5, ""dimension"": 1, ""drift"": 2.0, ""maturity"": 1.0, ""mean"": 4, ""model_name"": ""Heston"", ""nb_paths"": 20000, ""nb_steps"": 100, ""obs_perc"": 0.1, ""return_vol"": false, ""scheme"": ""euler"", ""speed"": 2.0, ""v0"": 1, ""volatility"": 0.3}"
2,OrnsteinUhlenbeck,1694141046,"{""S0"": 1, ""correlation"": 0.5, ""dimension"": 1, ""drift"": 2.0, ""maturity"": 1.0, ""mean"": 4, ""model_name"": ""OrnsteinUhlenbeck"", ""nb_paths"": 20000, ""nb_steps"": 100, ""obs_perc"": 0.1, ""return_vol"": false, ""scheme"": ""euler"", ""speed"": 2.0, ""v0"": 1, ""volatility"": 0.3}"
